เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"1803/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/01/05 00:00:00"											0							
"ว.1650/2548"	"ฟ้องศาล"	1	3	0	0	0												0							
"933/2547"	"ฟ้องศาล"	1	0	0	0	0												0							
"ว.1648/2548"	"ฟ้องศาล"		3	0	0	0												0							
"ว.1646/2548"	"ฟ้องศาล"	3	1	0	0	0												0							
"1849/2548"	"ฟ้องศาล"	1	2	3	0	0												0							
"1776/2548"	"ฟ้องศาล"	0	1	0	0	0												0							
"1759/2548"	"ฟ้องศาล"	0	0	0	0	0	"06/23/05 00:00:00"											0							
"1759"	"ฟ้องศาล"	1	0	0	0	0												0							
"1777/2548"	"ฟ้องศาล"	0	0	0	0	0	"06/28/05 00:00:00"											0							
"1850/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
"1462/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/03/05 00:00:00"											0							
"1842/2548"	"ฟ้องศาล"	0	0	1	0	0	"06/28/05 00:00:00"											0							
"1851/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/26/05 00:00:00"											0							
"1757/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/27/05 00:00:00"											0							
"1754/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/22/05 00:00:00"											0							
"1758/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1755/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1696/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/24/05 00:00:00"											0							
"1797/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/30/05 00:00:00"											0							
"1845/2548"	"ฟ้องศาล"	0	0	1	0	0	"07/01/05 00:00:00"											0							
"1781/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/27/05 00:00:00"											0							
"1002/2548"	"สั่งไม่ฟ้องผู้ต้องหา   แจ้งตามหนังสือที่ อส(สก)0031/                  ลงวันที่"			0	0	0	"06/28/05 00:00:00"											0							
"1903/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/05/05 00:00:00"											0							
